"_5_digit_ntd_id","agency","max_reporter_type","max_organization_type","max_city","max_state","report_year","max_agency_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles"
"20148","Newburgh Beacon Bus Corporation","Reduced Reporter","Private Provider Reporting on Behalf of a Public Entity","New Windsor","NY","2023","7","71803","Poughkeepsie--Newburgh, NY","209.92","314766","132","249175","0","292304","0","0","0","21186","0",,,"0","0","0",,"0","0",,"194362",,,"0","0"
"20149","Rockland Coaches, Inc.","Full Reporter","Private-For-Profit Corporation","Paramus","NJ","2023","33","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","2898","1246231","1648205","900320","747885","1648205","48472","31686","16786","150",,"0","0","0",,"0","0",,"423369",,,"9615140","3.4"
"20160","Community Transit, Inc. , dba: Community Transit","Reduced Reporter","Private-For-Profit Corporation","Paramus","NJ","2023","13","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","89","324278","0","405790","0","0","0","11688","0",,,"0","0","0",,"0","0",,"151420",,,"0","0"
"20163","Lakeland Bus Lines, Inc.","Full Reporter","Private-For-Profit Corporation","Dover","NJ","2023","40","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","250","527906","1182325","1055587","126738","1067937","75906","71603","4303","11042","0","0","0","0",,"0","0",,"742278",,,"25589974","2.9"
"20165","Olympia Trails Bus Company, Inc., dba: Coach USA","Reduced Reporter","Private-For-Profit Corporation","Elizabeth","NJ","2023","15","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","27","16953","0","286014","0","0","0","27711","0",,,"0","0","0",,"0","0",,"369513",,,"0","0"
"20166","Orange-Newark-Elizabeth, Inc., dba: Coach USA","Full Reporter","Private-For-Profit Corporation","Elizabeth","NJ","2023","34","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","31","520687","577861","488342","89519","666326","61991","53651","8340",,,"0","0","0",,"0","0",,"1692482",,,"4056066","0"
"20169","Trans-Bridge Lines, Inc.","Full Reporter","Private-For-Profit Corporation","Bethlehem","PA","2023","29","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","353","194009","1567444","1540087","27357","1591452","40936","34852","6084","0","0","0","0","0",,"0","0",,"415601",,,"31092890","2.9"
"20175","Private Transportation Corporation","Full Reporter","Private-For-Profit Corporation","Brooklyn","NY","2023","6","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","71","2465326","112271","104859","7412","113398","11241","10477","764",,,"0","0","0",,"0","0",,"237882",,,"1244928","0"
"20176","Kaser Bus Service","Reduced Reporter","Private-For-Profit Corporation","Monsey","NY","2023","2","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","75","4724","0","132262","0","0","0","3762","0",,,"0","0","0",,"0","0",,"35059",,,"0","0"
"20177","Adirondack Transit Lines, Inc., dba: Adirondack Trailways","Full Reporter","Private-For-Profit Corporation","Hurley","NY","2023","13","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","10702","9428015","1460310","1373763","86547","1352672","34009","31994","2015","4258",,"0","0","0",,"0","0",,"362745",,,"31065245","2.9"
"20178","Ulster County , dba: Ulster County Area Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Kingston","NY","2023","32","71803","Poughkeepsie--Newburgh, NY","209.92","314766","350","175883","1176340","1137063","39277","1016043","73244","69482","3762","0","0","0","0","0",,"0","0",,"430747","7193",,"3954087","0"
"20179","Leprechaun Lines, Inc.","Reduced Reporter","Private Provider Reporting on Behalf of a Public Entity","New Windsor","NY","2023","8","71803","Poughkeepsie--Newburgh, NY","209.92","314766","132","249175","0","364149","0","0","0","14899","0",,,"0","0","0",,"0","0",,"17715",,,"0","0"
"20182","Town of Highlands , dba: Town of Highlands Dial A Bus","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Highland Falls","NY","2023","1","71803","Poughkeepsie--Newburgh, NY","209.92","314766","52","12187","0","18913","0","0","0","1899","0",,,"0","0","0",,"0","0",,"5811",,"0","0","0"
"20183","Town of Monroe , dba: Monroe Dial A Bus","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Monroe","NY","2023","6","45443","Kiryas Joel, NY","28.75","71582","21","30486","0","85129","0","0","0","9074","0",,,"0","0","0",,"0","0",,"19600",,"0","0","0"
"20187","Village of Kiryas Joel, dba: KJ Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Monroe","NY","2023","19","45443","Kiryas Joel, NY","28.75","71582","2","34368","0","365515","0","0","0","34012","0",,,"0","0","0",,"0","0",,"774872",,"0","0","0"
"20188","MTA Bus Company","Full Reporter","Subsidiary Unit of a Transit Agency, Reporting Separately","New York","NY","2023","1134","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","244","7706403","36032545","25751161","10281384","27158966","4128498","3318580","809918",,,"0","0","0",,"0","0",,"119571794",,,"347970662","40.46"
"20190","Port Imperial Ferry Corporation, dba: NY Waterway","Full Reporter","Private-For-Profit Corporation","Weehawken","NJ","2023","43","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","776","3658455","836511","801856","34655","836511","101879","93550","8329","1352","0","0","0","0",,"0","0",,"5689838",,,"12587409","61.84"
"20192","Bergen County, dba: Bergen County Community Transportation","Full Reporter","City, County or Local Government Unit or Department of Transportation","Hackensack","NJ","2023","51","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","247","965856","701882","591658","110224","53128","95942","89430","6512","0","0","0","0","0",,"0","0",,"139952","0","0","1223026","0"
"20193","Cumberland County, dba: Cumberland Area Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Bridgeton","NJ","2023","20","90730","Vineland, NJ","56.99","87226","322","302294","0","373906","0","0","0","30254","0",,,"0","0","0",,"0","0",,"60050",,"0","0","0"
"20195","Gloucester County","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","West Deptford","NJ","2023","18","69076","Philadelphia, PA--NJ--DE--MD","1898.19","5696125","322","302294","0","206170","0","0","0","18768","0",,,"0","0","0",,"0","0",,"27256",,"0","0","0"
"20199","County of Atlantic","Full Reporter","City, County or Local Government Unit or Department of Transportation","Atlantic City","NJ","2023","34","03904","Atlantic City--Ocean City--Villas, NJ","162.87","294921","567","274966","588511","455637","132874","92352","31473","23767","7706","0","0","0","0","0",,"0","0",,"86347","0","0","658856","0"
"20200","South Jersey Transportation Authority","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Blackwood","NJ","2023","28","69076","Philadelphia, PA--NJ--DE--MD","1898.19","5696125","222","508932","0","605504","0","0","0","38893","0",,,"0","0","0",,"0","0",,"126593",,,"0","0"
"20201","County of Cumberland","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Bridgeton","NJ","2023","4","90730","Vineland, NJ","56.99","87226","678","154152","0","127274","0","0","0","8177","0",,,"0","0","0",,"0","0",,"22754",,,"0","0"
"20203","Cape May County","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Cape May Court House","NJ","2023","20","03904","Atlantic City--Ocean City--Villas, NJ","162.87","294921","251","95263","0","414888","0","0","0","33253","0",,,"0","0","0",,"0","0",,"75499",,"0","0","0"
"20204","Senior Citizens United Community Services of Camden County, Inc.","Full Reporter","Private-Non-Profit Corporation","Audubon","NJ","2023","40","69076","Philadelphia, PA--NJ--DE--MD","1898.19","5696125","222","508932","878647","669776","208871","0","62459","55470","6989",,,"0","0","0",,"0","0",,"108834",,,"961907","0"
"20206","County of Nassau, dba: Nassau Inter County Express","Full Reporter","City, County or Local Government Unit or Department of Transportation","Mineola","NY","2023","321","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","285","1376340","12541079","10735039","1806040","8484016","1106402","992525","113877","0","0","0","0","0",,"0","0",,"20293586","283853","0","112757303","0"
"20208","County of Burlington, dba: BurLink","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Mount Holly","NJ","2023","6","69076","Philadelphia, PA--NJ--DE--MD","1898.19","5696125","833","449772","0","284152","0","0","0","13991","0",,,"0","0","0",,"0","0",,"38137",,,"0","0"
"20209","Somerset County, dba: Somerset County Transportation","Full Reporter","City, County or Local Government Unit or Department of Transportation","Somerville","NJ","2023","59","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","305","324194","1015280","796075","219205","302202","90750","77708","13042","0","0","0","0","0",,"0","0",,"215121","165807",,"1265945","0"
"20210","Morris County, dba: Morris Area Paratransit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Morristown","NJ","2023","19","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","482","510981","0","280347","0","0","0","14960","0",,,"0","0","0",,"0","0",,"29612",,"0","0","0"
"20211","County of Mercer","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Trenton","NJ","2023","25","88462","Trenton, NJ","133.13","370422","226","381671","0","333870","0","0","0","24081","0",,,"0","0","0",,"0","0",,"56655",,"0","0","0"
"20212","County of Hunterdon, dba: HCLink","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Flemington","NJ","2023","24","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","438","128349","0","640474","0","0","0","33367","0",,,"0","0","0",,"0","0",,"107586",,"0","0","0"
"20213","City of Mechanicville, dba: Public Transportation System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mechanicville","NY","2023","2",,,"0",,,,"0","5939","0","0","0","960","0",,,"0","0","0",,"0","0",,"4217",,,"0","0"
"20214","Town of Warwick , dba: Warwick Dial A Bus","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Warwick","NY","2023","6","56899","Middletown, NY","25.96","61516","101","32027","0","107302","0","0","0","8619","0",,,"0","0","0",,"0","0",,"24634",,"0","0","0"
"20215","City of Watertown NY, dba: CitiBus","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Watertown","NY","2023","8","92674","Watertown, NY","31.99","51832","17","25290","0","136560","0","0","0","11816","0",,,"0","0","0",,"0","0",,"85055",,"0","0","0"
"20216","Orange County, dba: Transit Orange","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Goshen","NY","2023","12","71803","Poughkeepsie--Newburgh, NY","209.92","314766","62","166160","0","186043","0","0","0","17201","0",,,"0","0","0",,"0","0",,"57808",,"0","0","0"
"20217","Hampton Jitney, Inc.","Full Reporter","Private-For-Profit Corporation","Calverton","NY","2023","60","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","1215","9908805","2480335","2132186","348149","2397053","82339","71687","10652","32406",,"0","0","0",,"0","0",,"535803",,,"49533110","0"
"20220","Broadway Bus Corporation","Reduced Reporter","Private-For-Profit Corporation","Bayonne","NJ","2023","8","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","7","100344","0","91563","0","0","0","13083","0",,,"0","0","0",,"0","0",,"464454",,,"0","0"
"20223","Cape May Lewes Ferry","Full Reporter","Independent Public Agency or Authority of Transit Service","New Castle","DE","2023","3","03904","Atlantic City--Ocean City--Villas, NJ","162.87","294921","1187","332641","73480","73480","0","73616","8474","8474","0","6",,"0","0","0",,"0","0",,"745196",,,"12593812","33.8"
"20226","SeaStreak, LLC","Full Reporter","Private-For-Profit Corporation","Atlantic Highlands","NJ","2023","7","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","776","3658455","239568","239568","0","242130","16312","16312","0","1284",,"0","0","0",,"0","0",,"1192351",,,"23566982","90"
"20227","Town of Wallkill","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Middletown","NY","2023","6","56899","Middletown, NY","25.96","61516","62","30743","0","101796","0","0","0","10300","0",,,"0","0","0",,"0","0",,"23301",,"0","0","0"
"20230","Barnegat Bay Decoy & Baymen's Museum","Full Reporter","Private-Non-Profit Corporation","Tuckerton","NJ","2023","1","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","3104","24296","2312","2312","0","2312","252","252","0","0",,"0","0","0",,"0","0",,"7343",,,"60214","16.4"
"20925","Lewis County, dba: Lewis County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Lowville","NY","2023","11",,,"0",,,,"0","323894","0","0","0","13847","0",,,"0","0","0",,"0","0",,"43176",,"578","0","0"
"20926","Schoharie County , dba: Schoharie County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Schoharie","NY","2023","7",,,"0",,,,"0","214510","0","0","0","9332","0",,,"0","0","0",,"0","0",,"42604",,"2687","0","0"
"20928","Warren County, dba: Warren County Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Belvidere","NJ","2023","21",,,"0",,"149","386046","0","433449","0","0","0","24037","0",,,"0","0","0",,"0","0",,"86569",,"11973","0","0"
"20931","Greene County, dba: Greene County Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Catskill","NY","2023","9",,,"0",,,,"0","183629","0","0","0","8802","0",,,"0","0","0",,"0","0",,"15989",,,"0","0"
"20932","Essex County , dba: Essex County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Elizabethtown","NY","2023","13",,,"0",,,,"0","324775","0","0","0","15309","0",,,"0","0","0",,"0","0",,"94608",,,"0","0"
"20933","Monmouth County, dba: Special Citizen Area Transportation","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Freehold","NJ","2023","10","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","222","508932","0","154124","0","0","0","6471","0",,,"0","0","0",,"0","0",,"14065",,"7984","0","0"
"20934","RTS Orleans","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","5",,,"0",,,,"0","140247","0","0","0","6652","0",,,"0","0","0",,"0","0",,"24815",,,"0","0"
"20935","Chenango County, dba: Chenango County Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Norwich","NY","2023","14",,,"0",,,,"0","421123","0","0","0","21203","0",,,"0","0","0",,"0","0",,"33965",,,"0","0"
"20937","Sullivan County , dba: Move Sullivan","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Monticello","NY","2023","11",,,"0",,,,"0","323368","0","0","0","13649","0",,,"0","0","0",,"0","0",,"92168",,"0","0","0"
"20938","RTS Seneca","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","5",,,"0",,,,"0","186965","0","0","0","10266","0",,,"0","0","0",,"0","0",,"38797",,,"0","0"
"20939","Clinton County, dba: Clinton County Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Plattsburgh","NY","2023","8",,,"0",,,,"0","404219","0","0","0","18576","0",,,"0","0","0",,"0","0",,"62819",,"0","0","0"
"20940","Madison County, dba: Madison Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Wampsville","NY","2023","7",,,"0",,,,"0","162654","0","0","0","7852","0",,,"0","0","0",,"0","0",,"16378",,,"0","0"
"20941","City of Corning, dba: Corning Erwin Area Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Corning","NY","2023","5",,,"0",,,,"0","148735","0","0","0","12217","0",,,"0","0","0",,"0","0",,"84552",,,"0","0"
"20942","Oswego County, dba: Oswego Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Oswego","NY","2023","8",,,"0",,,,"0","464896","0","0","0","20466","0",,,"0","0","0",,"0","0",,"49070",,"11773","0","0"
"20944","Salem County, dba: SCOOT Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Salem","NJ","2023","14",,,"0",,"567","253000","0","266469","0","0","0","10114","0",,,"0","0","0",,"0","0",,"17249",,"0","0","0"
"20945","Schuyler County","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Watkins Glen","NY","2023","6",,,"0",,,,"0","280838","0","0","0","13397","0",,,"0","0","0",,"0","0",,"27211",,"915","0","0"
"20946","Steuben County, dba: Steuben County Transportation System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Bath","NY","2023","2",,,"0",,,,"0","152838","0","0","0","6462","0",,,"0","0","0",,"0","0",,"43502",,,"0","0"
"20947","RTS Genesee","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","10",,,"0",,,,"0","134502","0","0","0","11118","0",,,"0","0","0",,"0","0",,"26782",,,"0","0"
"20950","Sussex County, dba: Skylands Ride","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Newton","NJ","2023","22",,,"0",,"251","96304","0","544848","0","0","0","36456","0",,,"0","0","0",,"0","0",,"22313",,"132","0","0"
"20951","Allegany County, dba: Access Allegany","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Belmont","NY","2023","6",,,"0",,,,"0","422678","0","0","0","15178","0",,,"0","0","0",,"0","0",,"49342",,,"0","0"
"20953","City of Hornell, dba: Hornell Area Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Hornell","NY","2023","12",,,"0",,,,"0","172708","0","0","0","11935","0",,,"0","0","0",,"0","0",,"45777",,"28869","0","0"
"20954","Town of Goshen, dba: Town of Goshen and Chester Dial-A-Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Goshen","NY","2023","2",,,"0",,,,"0","27230","0","0","0","2120","0",,,"0","0","0",,"0","0",,"5397",,,"0","0"
"20957","County of Niagara, dba: Connect Niagara","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Lockport","NY","2023","4",,,"0",,,,"0","193232","0","0","0","7365","0",,,"0","0","0",,"0","0",,"8448",,,"0","0"
"20958","Cortland County, dba: Way to Go Cortland","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Cortland","NY","2023","15",,,"0",,"114","14827","0","328928","0","0","0","18670","0",,,"0","0","0",,"0","0",,"83572",,"1105","0","0"
"20959","Chautauqua County, dba: CHQ Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mayville","NY","2023","25",,,"0",,"142","50269","0","881340","0","0","0","65246","0",,,"0","0","0",,"0","0",,"190811",,"2917","0","0"
"20960","City of Oneonta, dba: Oneonta Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Oneonta","NY","2023","14",,,"0",,,,"0","398492","0","0","0","29887","0",,,"0","0","0",,"0","0",,"382372",,"0","0","0"
"20962","RTS Livingston","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","13",,,"0",,"293","694394","0","319016","0","0","0","17534","0",,,"0","0","0",,"0","0",,"76022",,,"0","0"
"20964","Fulton County, dba: Brown Coach Commuter","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Johnstown","NY","2023","1",,,"0",,,,"0","64862","0","0","0","3530","0",,,"0","0","0",,"0","0",,"11688",,,"0","0"
"20967","RTS Ontario","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","18",,,"0",,"407","981771","0","457394","0","0","0","16740","0",,,"0","0","0",,"0","0",,"132757",,,"0","0"
"20968","County of Rensselaer","Rural Reporter","City, County or Local Government Unit or Department of Transportation","East Greenbush","NY","2023","1",,,"0",,"175","351997","0","45085","0","0","0","1743","0",,,"0","0","0",,"0","0",,"3031",,,"0","0"
"20973","Town of Montgomery, dba: Montgomery and Crawford Dial-A-Ride Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Montgomery","NY","2023","3",,,"0",,"510","641357","0","66379","0","0","0","5827","0",,,"0","0","0",,"0","0",,"9530",,,"0","0"
"20975","City of Olean, dba: Olean Area Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Olean","NY","2023","5",,,"0",,"1124","181670","0","172983","0","0","0","10790","0",,,"0","0","0",,"0","0",,"53287",,,"0","0"
"20980","RTS Wyoming","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","14",,,"0",,,,"0","307023","0","0","0","14451","0",,,"0","0","0",,"0","0",,"47977",,,"0","0"
"20981","City of Gloversville , dba: Gloversville Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Gloversville","NY","2023","6",,,"0",,,,"0","145288","0","0","0","8304","0",,,"0","0","0",,"0","0",,"49708",,"1298","0","0"
"20983","RTS Wayne","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","34",,,"0",,,,"0","584449","0","0","0","25355","0",,,"0","0","0",,"0","0",,"93925",,,"0","0"
"20988","City of Port Jervis, dba: City of Port Jervis Dial-A-Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Port Jervis","NY","2023","2",,,"0",,,,"0","29115","0","0","0","3016","0",,,"0","0","0",,"0","0",,"10543",,"0","0","0"
"20991","St Lawrence County, dba: St Lawrence County Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Canton","NY","2023","22",,,"0",,,,"0","986936","0","0","0","45986","0",,,"0","0","0",,"0","0",,"134322",,,"0","0"
"20992","Franklin County , dba: Franklin County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Malone","NY","2023","15",,,"0",,,,"0","410772","0","0","0","12438","0",,,"0","0","0",,"0","0",,"67303",,"11249","0","0"
"20998","Otsego County, dba: Otsego Express","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Cooperstown","NY","2023","10",,,"0",,,,"0","197103","0","0","0","9356","0",,,"0","0","0",,"0","0",,"26155",,,"0","0"
"20999","Columbia County, dba: Columbia County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Hudson","NY","2023","5",,,"0",,,,"0","142484","0","0","0","7212","0",,,"0","0","0",,"0","0",,"37765",,,"0","0"
"21000","Yates County, dba: Yates Transit Service","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Penn Yan","NY","2023","5",,,"0",,,,"0","188660","0","0","0","7928","0",,,"0","0","0",,"0","0",,"25725",,,"0","0"
"22929","Seneca Nation of Indians","Reduced Reporter","Tribe","Salamanca","NY","2023","2","00036","New York Non-UZA","0","3425270",,,"0","225994","0","0","0","7331","0",,,"0","0","0",,"0","0",,"17981",,,"0","0"
"22930","New York City Economic Development Corporation","Full Reporter","Private-Non-Profit Corporation","New York","NY","2023","29","63217","New York--Jersey City--Newark, NY--NJ","3248.12","19426449","13","576545","1235427","1084453","150974","1099646","117980","109465","8515","0","0","0","0","0",,"0","0",,"6687168",,,"33504383","71.12"
"30001","Kanawha Valley Regional Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Charleston","WV","2023","45","15481","Charleston, WV","92.92","140958","902","178281","2554687","2460481","94206","2028392","142370","138607","3763","677","0","0","0","0",,"0","0",,"1094139","27830","0","5380596","0"
"30002","The Tri-State Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Huntington","WV","2023","33","40753","Huntington, WV--KY--OH","128.87","200157","92","144339","1280501","1204363","76138","883450","77419","71814","5605","67",,"0","0","0",,"0","0",,"731480","51944",,"4274626","0"
"30003","Mid-Ohio Valley Transit Authority, dba: Easy Rider","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Parkersburg","WV","2023","13","67672","Parkersburg, WV--OH","39.9","62500","14","39979","0","495925","0","0","0","37114","0",,,"0","0","0",,"0","0",,"272969",,"0","0","0"
"30006","Greater Richmond Transit Company","Full Reporter","Other Publicly-Owned or Privately Chartered Corporation","Richmond","VA","2023","196","74746","Richmond, VA","512.35","1059150","322","586726","9190116","8365799","824317","4837936","643500","596302","47198","9","0","0","0","0",,"0","0",,"9723640","241985","0","48410504","14.24"
"30007","Greater Roanoke Transit Company, dba: Valley Metro","Full Reporter","Other Publicly-Owned or Privately Chartered Corporation","Roanoke","VA","2023","41","75421","Roanoke, VA","125.5","217312","43","132259","2474164","2266478","207686","1811202","152069","141514","10555","0","0","0","0","0",,"0","0",,"1287135","70233",,"7602285","0"
"30008","Greater Lynchburg Transit Company","Full Reporter","Independent Public Agency or Authority of Transit Service","Lynchburg","VA","2023","20","52201","Lynchburg, VA","91.6","125596","72","80846","1200733","1150848","49885","1063528","83571","79820","3751","0","0","0","0","0",,"0","0",,"520122","17078","0","2306018","0"
"30009","City of Petersburg , dba: Petersburg Area Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Petersburg","VA","2023","17","74746","Richmond, VA","512.35","1059150","7","72650","0","553318","0","0","0","44944","0",,,"0","0","0",,"0","0",,"476943",,"0","0","0"
"30010","Lehigh and Northampton Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Allentown","PA","2023","139","01495","Allentown--Bethlehem, PA--NJ","261.55","621703","324","533100","6900714","5423444","1477270","3613141","462285","368371","93914","0","0","0","0","0",,"0","0",,"3897096","45038","0","19797124","0"
"30011","Altoona Metro Transit, dba: AMTRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","Altoona","PA","2023","21","01792","Altoona, PA","37.01","74426","25","69608","559048","549639","9409","549003","43163","41480","1683","0","0","0","0","0",,"0","0",,"444716","49",,"1614732","0"
"30012","Cambria County Transit Authority, dba: CamTran","Full Reporter","Independent Public Agency or Authority of Transit Service","Johnstown","PA","2023","43","43291","Johnstown, PA","34.7","61521","688","133472","1363594","1266541","97053","1140278","97741","91597","6144","0","0","0","0","0","0","0","0","0","804968","4621","0","4713352","0.34"
"30013","Erie Metropolitan Transit Authority, dba: the e","Full Reporter","Independent Public Agency or Authority of Transit Service","Erie","PA","2023","80","27766","Erie, PA","73.34","187820","77","189872","2751817","2594434","157383","1817820","197471","184583","12888",,,"0","0","0",,"0","0",,"1423465","43244","2698","3300207","0"
"30015","Luzerne County Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service",,"PA","2023","67","80227","Scranton, PA","162.16","366713","121","230577","2175485","1928117","247368","1209884","142185","128177","14008","0","0","0","0","0",,"0","0",,"864744","20710","0","4208055","0"
"30019","Southeastern Pennsylvania Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Philadelphia","PA","2023","1952","69076","Philadelphia, PA--NJ--DE--MD","1898.19","5696125","844","3475337","86777715","80225805","6551910","76838957","7244854","6794130","450724","0","0","0","10046242","9753177","293065","750705","730235","20470","197264920","510017",,"834809485","644.66"
"30022","Pittsburgh Regional Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Pittsburgh","PA","2023","780","69697","Pittsburgh, PA","906.64","1745039","775","1238090","33093706","26447131","6646575","20467774","2332730","2025498","307232","0","0","0","1392111","1303920","88191","111541","104910","6631","37908532","173405","574435","155119545","106.29"
"30023","Beaver County Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Rochester","PA","2023","31","69697","Pittsburgh, PA","906.64","1745039","440","168215","1213752","1037781","175971","599056","74008","66542","7466","0","0","0","0","0",,"0","0",,"461712",,"60299","3621844","10.1"
"30025","County of Lackawanna Transit System","Full Reporter","Independent Public Agency or Authority of Transit Service","Scranton","PA","2023","75","80227","Scranton, PA","162.16","366713","145","214437","2175670","1870066","305604","1122728","154488","139293","15195","0","0","0","0","0",,"0","0",,"798042","15000","0","3912648","0"
"30026","River Valley Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Williamsport","PA","2023","31","95455","Williamsport, PA","27.72","55344","92","67938","1016452","960748","55704","878914","58659","55814","2845","1858",,"0","0","0",,"0","0",,"780399","5897",,"4578701","0"
